"Story","Title","Result","Date","Stability","Duration (s)"
"Filtering todos","Viewing the items by status","SUCCESS","2023-07-11T05:54:19.675743053Z[Etc/UTC]","0.0","3.4"
"Filtering todos","Viewing the items by status","SUCCESS","2023-07-11T05:54:19.675743053Z[Etc/UTC]","0.0","3.4"
"Add new todos","Adding an item to an empty list in Cucumber","SUCCESS","2023-07-11T05:54:23.185177408Z[Etc/UTC]","0.0","0.87"
"ToggleAllTodos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2023-07-11T05:55:13.747345176Z[Etc/UTC]","0.0","0.99"
"ClearCompletedTodos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2023-07-11T05:55:23.728012597Z[Etc/UTC]","0.0","0.97"
"DeletingTodos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2023-07-11T05:55:21.3302196Z[Etc/UTC]","0.0","0.97"
"LearnAboutTheApplication","Should be able to identify the application","SUCCESS","2023-07-11T05:54:30.784920049Z[Etc/UTC]","0.0","0.82"
"LearnAboutTheApplication","Should see how to begin","SUCCESS","2023-07-11T05:54:31.710273648Z[Etc/UTC]","0.0","0.6"
"DeletingTodos","Should be able to delete todos","SUCCESS","2023-07-11T05:54:52.798929798Z[Etc/UTC]","0.0","0.97"
"AddNewTodos","Should be able to add the first todo item","SUCCESS","2023-07-11T05:54:28.470840308Z[Etc/UTC]","0.0","0.86"
