"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2022-02-13T09:29:46.543997569Z[Etc/UTC]","0.0","0.87"
"Learn about the application","Should see how to begin","SUCCESS","2022-02-13T09:29:47.523303575Z[Etc/UTC]","0.0","0.59"
"Clear completed todos","Should not be able to clear completed todos if none are complete","SUCCESS","2022-02-13T09:30:12.868780104Z[Etc/UTC]","0.0","0.9"
"Filtering todos","Viewing the items by status","SUCCESS","2022-02-13T09:29:08.860047724Z[Etc/UTC]","0.0","3.78"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-02-13T09:29:33.181918632Z[Etc/UTC]","0.0","1.0"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-02-13T09:29:39.884385276Z[Etc/UTC]","0.0","0.96"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-02-13T09:29:40.954323983Z[Etc/UTC]","0.0","0.94"
"Clear completed todos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2022-02-13T09:29:43.401023825Z[Etc/UTC]","0.0","0.93"
"Add new todos","Should be able to add the first todo item","SUCCESS","2022-02-13T09:29:44.499448273Z[Etc/UTC]","0.0","0.78"
"Add new todos","Adding an item to an empty list in Cucumber","SUCCESS","2022-02-13T09:29:12.7461551Z[Etc/UTC]","0.0","0.76"
