"Story","Title","Result","Date","Stability","Duration (s)"
"LearnAboutTheApplication","Should be able to identify the application","SUCCESS","2023-08-24T18:44:38.443747087Z[Etc/UTC]","0.0","0.62"
"LearnAboutTheApplication","Should see how to begin","SUCCESS","2023-08-24T18:44:39.887727423Z[Etc/UTC]","0.0","0.66"
"CompleteATodo","Should be able to complete a todo using imperative code","SUCCESS","2023-08-24T18:44:04.608252079Z[Etc/UTC]","0.0","1.1"
"CompleteATodo","Should be able to complete a todo using a bdd style","SUCCESS","2023-08-24T18:44:05.814815203Z[Etc/UTC]","0.0","0.56"
"CompleteATodo","Should be able to toggle the status of all todos","SUCCESS","2023-08-24T18:44:08.254145663Z[Etc/UTC]","0.0","0.6"
"CompleteATodo","Should be able to complete a todo","SUCCESS","2023-08-24T18:44:10.87284467Z[Etc/UTC]","0.0","0.55"
"CompleteATodo","Should be able to complete a todo using page objects","SUCCESS","2023-08-24T18:44:13.425483723Z[Etc/UTC]","0.0","0.95"
"CompleteATodo","Should see the number of todos decrease when an item is completed","SUCCESS","2023-08-24T18:44:14.484241276Z[Etc/UTC]","0.0","0.6"
"DownloadTheApp","Should see the number of todos decrease when an item is completed","SUCCESS","2023-08-24T18:43:50.31931866Z[Etc/UTC]","0.0","0.63"
"DownloadTheApp","Should be able to download the application","SUCCESS","2023-08-24T18:43:52.570898449Z[Etc/UTC]","0.0","0.96"
"ClearCompletedTodos","Should not be able to clear completed todos if none are complete","SUCCESS","2023-08-24T18:44:25.599787923Z[Etc/UTC]","0.0","0.61"
"ClearCompletedTodos","Should be able to clear completed todos","SUCCESS","2023-08-24T18:44:27.686956231Z[Etc/UTC]","0.0","0.58"
"DeletingTodos","Should be able to delete todos","SUCCESS","2023-08-24T18:44:16.703714263Z[Etc/UTC]","0.0","0.58"
"DeletingTodos","Should see deleting a todo decreases the remaining items count","SUCCESS","2023-08-24T18:44:18.768364158Z[Etc/UTC]","0.0","0.61"
"FilteringTodos","Should be able to view only incomplete todos","SUCCESS","2023-08-24T18:44:30.294017734Z[Etc/UTC]","0.0","0.58"
"FilteringTodos","Should be able to view only completed todos","SUCCESS","2023-08-24T18:44:32.999135479Z[Etc/UTC]","0.0","0.57"
"FilteringTodos","Should be able to view both complete and incomplete todos","SUCCESS","2023-08-24T18:44:35.604341647Z[Etc/UTC]","0.0","0.58"
"TodosBelongToAUser","Should not affect todos belonging to another user","SUCCESS","2023-08-24T18:44:21.092273654Z[Etc/UTC]","0.0","0.56"
"AddNewTodos","Should be able to add the first todo item","SUCCESS","2023-08-24T18:44:40.972974251Z[Etc/UTC]","0.0","0.61"
"AddNewTodos","Should be able to add additional todo items","SUCCESS","2023-08-24T18:44:42.35257355Z[Etc/UTC]","0.0","0.63"
