"Story","Title","Result","Date","Stability","Duration (s)"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete","SUCCESS","2018-10-15T18:50:20.683+05:30[Asia/Kolkata]","0.0","10.55"
"Toggle all todos","Should be able to quickly complete all todos","SUCCESS","2018-10-15T18:50:31.287+05:30[Asia/Kolkata]","0.0","11.87"
"Toggle all todos","Should be able to toggle status of all todos","SUCCESS","2018-10-15T18:50:43.215+05:30[Asia/Kolkata]","0.0","12.67"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete","SUCCESS","2018-10-15T18:50:55.938+05:30[Asia/Kolkata]","0.0","11.44"
"Clear completed todos","Should not be able to clear completed todos if none are complete","SUCCESS","2018-10-15T18:52:01.22+05:30[Asia/Kolkata]","0.0","12.23"
"Clear completed todos","Should be able to clear completed todos","SUCCESS","2018-10-15T18:52:13.506+05:30[Asia/Kolkata]","0.0","12.56"
"Filtering todos","Should be able to view only incomplete todos","SUCCESS","2018-10-15T18:52:26.189+05:30[Asia/Kolkata]","0.0","14.56"
"Filtering todos","Should be able to view only completed todos","SUCCESS","2018-10-15T18:52:40.807+05:30[Asia/Kolkata]","0.0","13.07"
"Filtering todos","Should be able to view both complete and incomplete todos","SUCCESS","2018-10-15T18:52:53.934+05:30[Asia/Kolkata]","0.0","15.09"
"Complete a todo","Should see the number of todos decrease when an item is completed with page objects","SUCCESS","2018-10-15T18:38:21.807+05:30[Asia/Kolkata]","0.0","9.47"
"Complete a todo","Should see the number of todos increase when an item is added with page objects","SUCCESS","2018-10-15T18:38:31.305+05:30[Asia/Kolkata]","0.0","3.81"
"Complete a todo","Should be able to complete a todo with page objects","SUCCESS","2018-10-15T18:38:35.124+05:30[Asia/Kolkata]","0.0","3.81"
"Add new todos","Test to resolve issue #616172","SUCCESS","2018-10-15T18:37:11.037+05:30[Asia/Kolkata]","0.0","15.02"
"Add new todos","Should be able to add additional todo items with page objects","SUCCESS","2018-10-15T18:37:26.112+05:30[Asia/Kolkata]","0.0","9.13"
