"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2021-07-25T20:09:20.63Z[Etc/UTC]","0.0","1.6"
"Learn about the application","Should see how to begin","SUCCESS","2021-07-25T20:09:20.778Z[Etc/UTC]","0.0","1.25"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2021-07-25T20:08:47.289Z[Etc/UTC]","0.0","3.55"
"Complete a todo","Should be able to complete a todo","SUCCESS","2021-07-25T20:08:47.519Z[Etc/UTC]","0.0","3.66"
"Download the app","Should be able to download the application","SUCCESS","2021-07-25T20:08:51.392Z[Etc/UTC]","0.0","13.53"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2021-07-25T20:08:51.604Z[Etc/UTC]","0.0","3.29"
"Delete todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2021-07-25T20:09:05.122Z[Etc/UTC]","0.0","2.53"
"Delete todos","Should be able to delete todos","SUCCESS","2021-07-25T20:09:05.292Z[Etc/UTC]","0.0","2.45"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2021-07-25T20:09:42.819Z[Etc/UTC]","0.0","2.64"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2021-07-25T20:09:42.958Z[Etc/UTC]","0.0","2.43"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2021-07-25T20:09:25.344Z[Etc/UTC]","0.0","4.67"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2021-07-25T20:09:25.546Z[Etc/UTC]","0.0","4.89"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2021-07-25T20:09:25.793Z[Etc/UTC]","0.0","4.41"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2021-07-25T20:09:26.002Z[Etc/UTC]","0.0","4.57"
"Add new todos","Should be able to add the first todo item","SUCCESS","2021-07-25T20:08:42.903Z[Etc/UTC]","0.0","3.28"
"Add new todos","Should be able to add additional todo items","SUCCESS","2021-07-25T20:08:43.19Z[Etc/UTC]","0.0","3.84"
