"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2018-10-15T18:39:57.305+05:30[Asia/Kolkata]","0.0","12.9"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2018-10-15T18:40:10.259+05:30[Asia/Kolkata]","0.0","13.51"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2018-10-15T18:37:35.368+05:30[Asia/Kolkata]","0.0","12.38"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2018-10-15T18:37:47.8+05:30[Asia/Kolkata]","0.0","10.82"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2018-10-15T18:37:58.674+05:30[Asia/Kolkata]","0.0","10.47"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2018-10-15T18:38:09.201+05:30[Asia/Kolkata]","0.0","12.5"
"Complete a todo","Should see the number of todos decrease when an item is completed with page objects","SUCCESS","2018-10-15T18:38:21.807+05:30[Asia/Kolkata]","0.0","9.47"
"Complete a todo","Should see the number of todos increase when an item is added with page objects","SUCCESS","2018-10-15T18:38:31.305+05:30[Asia/Kolkata]","0.0","3.81"
"Complete a todo","Should be able to complete a todo with page objects","SUCCESS","2018-10-15T18:38:35.124+05:30[Asia/Kolkata]","0.0","3.81"
"Delete todos","Should be able to delete todos with page objects","SUCCESS","2018-10-15T18:38:39.033+05:30[Asia/Kolkata]","0.0","11.07"
"Delete todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2018-10-15T18:38:50.155+05:30[Asia/Kolkata]","0.0","9.93"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2018-10-15T18:39:00.179+05:30[Asia/Kolkata]","0.0","10.99"
"Clear completed todos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2018-10-15T18:39:11.226+05:30[Asia/Kolkata]","0.0","9.16"
"Filtering todos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2018-10-15T18:39:20.474+05:30[Asia/Kolkata]","0.0","12.4"
"Filtering todos","Should be able to view only completed todos with page objects","SUCCESS","2018-10-15T18:39:32.926+05:30[Asia/Kolkata]","0.0","12.09"
"Filtering todos","Should be able to view only incomplete todos with page objects","SUCCESS","2018-10-15T18:39:45.072+05:30[Asia/Kolkata]","0.0","12.12"
"Add new todos","Test to resolve issue #616172","SUCCESS","2018-10-15T18:37:11.037+05:30[Asia/Kolkata]","0.0","15.02"
"Add new todos","Should be able to add additional todo items with page objects","SUCCESS","2018-10-15T18:37:26.112+05:30[Asia/Kolkata]","0.0","9.13"
