"Story","Title","Result","Date","Stability","Duration (s)"
"Completing todos","Mark a task as completed","SUCCESS","2023-08-01T05:38:45.544142194Z[Etc/UTC]","0.0","4.78"
"Completing todos","List of completed items should be empty if nothing has been completed","SUCCESS","2023-08-01T05:38:50.514104286Z[Etc/UTC]","0.0","3.21"
"Deleting todos","Delete an active item","SUCCESS","2023-08-01T05:38:53.866313652Z[Etc/UTC]","0.0","1.22"
"Deleting todos","Delete all the items","SUCCESS","2023-08-01T05:38:55.232536906Z[Etc/UTC]","0.0","3.19"
"Filtering todos","View only the completed items","SUCCESS","2023-08-01T05:38:58.562762579Z[Etc/UTC]","0.0","1.31"
"Filtering todos","Viewing the items by status","SUCCESS","2023-08-01T05:38:59.96334416Z[Etc/UTC]","0.0","3.54"
"Add new todos","Adding an item to a list with other items in Cucumber","SUCCESS","2023-08-01T05:39:04.505145044Z[Etc/UTC]","0.0","1.09"
"Add new todos","Adding items to several peoples lists in Cucumber","SUCCESS","2023-08-01T05:39:05.708387965Z[Etc/UTC]","0.0","2.07"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-08-01T05:39:43.672306761Z[Etc/UTC]","0.0","2.9"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-08-01T05:39:43.672306761Z[Etc/UTC]","0.0","2.4"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-08-01T05:39:43.672306761Z[Etc/UTC]","0.0","3.09"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-08-01T05:39:43.672306761Z[Etc/UTC]","0.0","3.2"
"LearnAboutTheApplication","Should be able to identify the application with page objects","SUCCESS","2023-08-01T05:39:43.731457904Z[Etc/UTC]","0.0","1.06"
"LearnAboutTheApplication","Should see how to begin with page objects","SUCCESS","2023-08-01T05:39:44.865631445Z[Etc/UTC]","0.0","1.14"
"ClearCompletedTodos","Should be able to clear completed todos with page objects","SUCCESS","2023-08-01T05:39:56.665333271Z[Etc/UTC]","0.0","1.06"
"FilteringTodos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2023-08-01T05:39:51.257638441Z[Etc/UTC]","0.0","1.08"
"FilteringTodos","Should be able to view only incomplete todos with page objects","SUCCESS","2023-08-01T05:39:53.549958726Z[Etc/UTC]","0.0","1.03"
"AddNewTodos","Test to resolve issue #616172","SUCCESS","2023-08-01T05:39:37.363255416Z[Etc/UTC]","0.0","1.34"
"AddNewTodos","Should be able to add additional todo items with page objects","SUCCESS","2023-08-01T05:39:38.807758829Z[Etc/UTC]","0.0","1.01"
"CompleteATodo","Should be able to complete a todo","SUCCESS","2023-08-01T05:39:12.079280166Z[Etc/UTC]","0.0","1.05"
"CompleteATodo","Should see the number of todos decrease when an item is completed","SUCCESS","2023-08-01T05:39:13.238586858Z[Etc/UTC]","0.0","1.01"
"DownloadTheApp","Should see the number of todos decrease when an item is completed","SUCCESS","2023-08-01T05:39:14.391194568Z[Etc/UTC]","0.0","1.04"
"ClearCompletedTodos","Should be able to clear completed todos","SUCCESS","2023-08-01T05:39:33.993337Z[Etc/UTC]","0.0","1.07"
"FilteringTodos","Should be able to view only incomplete todos","SUCCESS","2023-08-01T05:39:26.958459698Z[Etc/UTC]","0.0","1.18"
"FilteringTodos","Should be able to view only completed todos","SUCCESS","2023-08-01T05:39:28.246649071Z[Etc/UTC]","0.0","1.22"
"FilteringTodos","Should be able to view both complete and incomplete todos","SUCCESS","2023-08-01T05:39:29.570814809Z[Etc/UTC]","0.0","1.22"
"TodosBelongToAUser","Should not affect todos belonging to another user","SUCCESS","2023-08-01T05:39:35.226954304Z[Etc/UTC]","0.0","1.9"
"AddNewTodos","Should be able to add additional todo items","SUCCESS","2023-08-01T05:39:09.240802505Z[Etc/UTC]","0.0","1.12"
