"Story","Title","Result","Date","Stability","Duration (s)"
"Filtering todos","Viewing the items by status","SUCCESS","2023-08-24T18:42:17.267134784Z[Etc/UTC]","0.0","12.59"
"Add new todos","Adding an item to an empty list in Cucumber","SUCCESS","2023-08-24T18:42:18.394050729Z[Etc/UTC]","0.0","8.62"
"Add new todos","Adding an item to a list with other items in Cucumber","SUCCESS","2023-08-24T18:42:27.603444579Z[Etc/UTC]","0.0","3.1"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-08-24T18:42:57.073230305Z[Etc/UTC]","0.0","4.18"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-08-24T18:42:57.073230305Z[Etc/UTC]","0.0","4.33"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-08-24T18:42:57.073230305Z[Etc/UTC]","0.0","4.24"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-08-24T18:42:57.073230305Z[Etc/UTC]","0.0","4.08"
"LearnAboutTheApplication","Should be able to identify the application with page objects","SUCCESS","2023-08-24T18:42:57.10844497Z[Etc/UTC]","0.0","1.37"
"LearnAboutTheApplication","Should see how to begin with page objects","SUCCESS","2023-08-24T18:42:58.783541117Z[Etc/UTC]","0.0","1.63"
"CompleteATodo","Should be able to complete a todo with page objects","SUCCESS","2023-08-24T18:42:31.205534803Z[Etc/UTC]","0.0","1.32"
"AddNewTodos","Test to resolve issue #616172","SUCCESS","2023-08-24T18:43:00.669871465Z[Etc/UTC]","0.0","1.41"
