"Story","Title","Result","Date","Stability","Duration (s)"
"Completing todos","Mark a task as completed","SUCCESS","2023-07-29T11:37:45.908193765Z[Etc/UTC]","0.0","4.84"
"Completing todos","List of completed items should be empty if nothing has been completed","SUCCESS","2023-07-29T11:37:50.957489237Z[Etc/UTC]","0.0","3.33"
"Deleting todos","Delete an active item","SUCCESS","2023-07-29T11:37:54.421594022Z[Etc/UTC]","0.0","1.13"
"Deleting todos","Delete all the items","SUCCESS","2023-07-29T11:37:55.632262068Z[Etc/UTC]","0.0","3.14"
"Filtering todos","View only the completed items","SUCCESS","2023-07-29T11:37:58.906894598Z[Etc/UTC]","0.0","1.28"
"Filtering todos","Viewing the items by status","SUCCESS","2023-07-29T11:38:00.310405776Z[Etc/UTC]","0.0","3.26"
"Add new todos","Adding an item to a list with other items in Cucumber","SUCCESS","2023-07-29T11:38:04.555775869Z[Etc/UTC]","0.0","1.09"
"Add new todos","Adding items to several peoples lists in Cucumber","SUCCESS","2023-07-29T11:38:05.762900335Z[Etc/UTC]","0.0","1.99"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-07-29T11:38:43.981925969Z[Etc/UTC]","0.0","2.7"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-07-29T11:38:43.981925969Z[Etc/UTC]","0.0","2.98"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-07-29T11:38:43.981925969Z[Etc/UTC]","0.0","3.05"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-07-29T11:38:43.981925969Z[Etc/UTC]","0.0","2.94"
"LearnAboutTheApplication","Should be able to identify the application with page objects","SUCCESS","2023-07-29T11:38:44.016319382Z[Etc/UTC]","0.0","1.22"
"LearnAboutTheApplication","Should see how to begin with page objects","SUCCESS","2023-07-29T11:38:45.349490985Z[Etc/UTC]","0.0","1.24"
"ClearCompletedTodos","Should be able to clear completed todos with page objects","SUCCESS","2023-07-29T11:38:57.339044663Z[Etc/UTC]","0.0","1.01"
"FilteringTodos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2023-07-29T11:38:51.840572323Z[Etc/UTC]","0.0","1.09"
"FilteringTodos","Should be able to view only completed todos with page objects","SUCCESS","2023-07-29T11:38:53.02017839Z[Etc/UTC]","0.0","1.02"
"FilteringTodos","Should be able to view only incomplete todos with page objects","SUCCESS","2023-07-29T11:38:54.143598044Z[Etc/UTC]","0.0","1.08"
"AddNewTodos","Test to resolve issue #616172","SUCCESS","2023-07-29T11:38:37.653372465Z[Etc/UTC]","0.0","1.58"
"CompleteATodo","Should be able to complete a todo","SUCCESS","2023-07-29T11:38:11.941200313Z[Etc/UTC]","0.0","1.05"
"CompleteATodo","Should see the number of todos decrease when an item is completed","SUCCESS","2023-07-29T11:38:13.091330321Z[Etc/UTC]","0.0","1.03"
"DownloadTheApp","Should see the number of todos decrease when an item is completed","SUCCESS","2023-07-29T11:38:14.258852834Z[Etc/UTC]","0.0","1.01"
"ClearCompletedTodos","Should be able to clear completed todos","SUCCESS","2023-07-29T11:38:34.254762285Z[Etc/UTC]","0.0","1.06"
"FilteringTodos","Should be able to view only incomplete todos","SUCCESS","2023-07-29T11:38:27.080824308Z[Etc/UTC]","0.0","1.32"
"FilteringTodos","Should be able to view only completed todos","SUCCESS","2023-07-29T11:38:28.507706093Z[Etc/UTC]","0.0","1.15"
"FilteringTodos","Should be able to view both complete and incomplete todos","SUCCESS","2023-07-29T11:38:29.766597297Z[Etc/UTC]","0.0","1.2"
"TodosBelongToAUser","Should not affect todos belonging to another user","SUCCESS","2023-07-29T11:38:35.454241949Z[Etc/UTC]","0.0","1.96"
"AddNewTodos","Should be able to add additional todo items","SUCCESS","2023-07-29T11:38:09.202005878Z[Etc/UTC]","0.0","1.06"
