"Story","Title","Result","Date","Stability","Duration (s)"
"Completing todos","Mark a task as completed","SUCCESS","2023-07-11T06:25:47.577096877Z[Etc/UTC]","0.0","13.61"
"Completing todos","List of completed items should be empty if nothing has been completed","SUCCESS","2023-07-11T06:26:01.413535083Z[Etc/UTC]","0.0","3.09"
"Deleting todos","Delete an active item","SUCCESS","2023-07-11T06:26:04.617945273Z[Etc/UTC]","0.0","1.02"
"Deleting todos","Delete all the items","SUCCESS","2023-07-11T06:26:05.732273306Z[Etc/UTC]","0.0","3.11"
"Filtering todos","View only the completed items","SUCCESS","2023-07-11T06:26:08.964448581Z[Etc/UTC]","0.0","1.21"
"Filtering todos","Viewing the items by status","SUCCESS","2023-07-11T06:26:10.252884069Z[Etc/UTC]","0.0","3.12"
"Add new todos","Adding an item to an empty list in Cucumber","SUCCESS","2023-07-11T06:26:13.480684073Z[Etc/UTC]","0.0","0.77"
"Add new todos","Adding an item to a list with other items in Cucumber","SUCCESS","2023-07-11T06:26:14.346434972Z[Etc/UTC]","0.0","1.02"
"Add new todos","Adding items to several peoples lists in Cucumber","SUCCESS","2023-07-11T06:26:15.443155571Z[Etc/UTC]","0.0","1.97"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-07-11T06:26:53.236817613Z[Etc/UTC]","0.0","13.6"
"LearnAboutTheApplication","Should be able to identify the application with page objects","SUCCESS","2023-07-11T06:26:53.26306967Z[Etc/UTC]","0.0","1.14"
"LearnAboutTheApplication","Should see how to begin with page objects","SUCCESS","2023-07-11T06:26:54.502568498Z[Etc/UTC]","0.0","1.15"
"CompleteATodo","Should be able to complete a todo with page objects","SUCCESS","2023-07-11T06:26:55.776323074Z[Etc/UTC]","0.0","1.01"
"ToggleAllTodos","Should be able to toggle status of all todos with page objects","SUCCESS","2023-07-11T06:26:56.909941218Z[Etc/UTC]","0.0","0.94"
"ToggleAllTodos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2023-07-11T06:26:57.91656497Z[Etc/UTC]","0.0","0.89"
"ToggleAllTodos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2023-07-11T06:26:58.91485189Z[Etc/UTC]","0.0","0.87"
"ToggleAllTodos","Should be able to quickly complete all todos with page objects","SUCCESS","2023-07-11T06:26:59.864472409Z[Etc/UTC]","0.0","0.92"
"ClearCompletedTodos","Should be able to clear completed todos with page objects","SUCCESS","2023-07-11T06:27:06.695482064Z[Etc/UTC]","0.0","1.04"
"ClearCompletedTodos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2023-07-11T06:27:07.838346754Z[Etc/UTC]","0.0","0.85"
"DeletingTodos","Should be able to delete todos with page objects","SUCCESS","2023-07-11T06:27:04.722341502Z[Etc/UTC]","0.0","0.85"
"DeletingTodos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2023-07-11T06:27:05.680472061Z[Etc/UTC]","0.0","0.88"
"FilteringTodos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2023-07-11T06:27:00.92271165Z[Etc/UTC]","0.0","1.27"
"FilteringTodos","Should be able to view only completed todos with page objects","SUCCESS","2023-07-11T06:27:02.295318572Z[Etc/UTC]","0.0","1.1"
"FilteringTodos","Should be able to view only incomplete todos with page objects","SUCCESS","2023-07-11T06:27:03.498362017Z[Etc/UTC]","0.0","1.1"
"AddNewTodos","Test to resolve issue #616172","SUCCESS","2023-07-11T06:26:46.95122213Z[Etc/UTC]","0.0","1.28"
"AddNewTodos","Should be able to add additional todo items with page objects","SUCCESS","2023-07-11T06:26:48.330861967Z[Etc/UTC]","0.0","0.95"
"LearnAboutTheApplication","Should be able to identify the application","SUCCESS","2023-07-11T06:26:20.238258247Z[Etc/UTC]","0.0","0.71"
"LearnAboutTheApplication","Should see how to begin","SUCCESS","2023-07-11T06:26:21.055972489Z[Etc/UTC]","0.0","0.57"
"CompleteATodo","Should be able to complete a todo","SUCCESS","2023-07-11T06:26:21.768629038Z[Etc/UTC]","0.0","1.09"
"CompleteATodo","Should see the number of todos decrease when an item is completed","SUCCESS","2023-07-11T06:26:22.960479292Z[Etc/UTC]","0.0","1.0"
"DownloadTheApp","Should see the number of todos decrease when an item is completed","SUCCESS","2023-07-11T06:26:24.086508679Z[Etc/UTC]","0.0","1.0"
"DownloadTheApp","Should be able to download the application","SUCCESS","2023-07-11T06:26:25.200666415Z[Etc/UTC]","0.0","11.3"
"ClearCompletedTodos","Should not be able to clear completed todos if none are complete","SUCCESS","2023-07-11T06:26:42.645355002Z[Etc/UTC]","0.0","0.85"
"ClearCompletedTodos","Should be able to clear completed todos","SUCCESS","2023-07-11T06:26:43.603979736Z[Etc/UTC]","0.0","1.09"
"DeletingTodos","Should be able to delete todos","SUCCESS","2023-07-11T06:26:40.564529101Z[Etc/UTC]","0.0","0.91"
"DeletingTodos","Should see deleting a todo decreases the remaining items count","SUCCESS","2023-07-11T06:26:41.583582389Z[Etc/UTC]","0.0","0.92"
"FilteringTodos","Should be able to view only incomplete todos","SUCCESS","2023-07-11T06:26:36.642269156Z[Etc/UTC]","0.0","1.18"
"FilteringTodos","Should be able to view only completed todos","SUCCESS","2023-07-11T06:26:37.905978558Z[Etc/UTC]","0.0","1.19"
"FilteringTodos","Should be able to view both complete and incomplete todos","SUCCESS","2023-07-11T06:26:39.207620567Z[Etc/UTC]","0.0","1.25"
"TodosBelongToAUser","Should not affect todos belonging to another user","SUCCESS","2023-07-11T06:26:44.824805092Z[Etc/UTC]","0.0","1.9"
"AddNewTodos","Should be able to add the first todo item","SUCCESS","2023-07-11T06:26:18.147373576Z[Etc/UTC]","0.0","0.73"
"AddNewTodos","Should be able to add additional todo items","SUCCESS","2023-07-11T06:26:18.98648918Z[Etc/UTC]","0.0","1.11"
