"Story","Title","Result","Date","Stability","Duration (s)"
"ToggleAllTodos","Should be able to toggle status of all todos with page objects","SUCCESS","2023-08-24T18:42:33.553592267Z[Etc/UTC]","0.0","0.93"
"ToggleAllTodos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2023-08-24T18:42:35.629467436Z[Etc/UTC]","0.0","0.8"
"ToggleAllTodos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2023-08-24T18:42:37.216343575Z[Etc/UTC]","0.0","0.85"
"ToggleAllTodos","Should be able to quickly complete all todos with page objects","SUCCESS","2023-08-24T18:42:38.734622383Z[Etc/UTC]","0.0","0.82"
"ClearCompletedTodos","Should be able to clear completed todos with page objects","SUCCESS","2023-08-24T18:42:43.239401004Z[Etc/UTC]","0.0","0.83"
"ClearCompletedTodos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2023-08-24T18:42:45.077551764Z[Etc/UTC]","0.0","0.79"
"DeletingTodos","Should be able to delete todos with page objects","SUCCESS","2023-08-24T18:42:40.375648928Z[Etc/UTC]","0.0","0.8"
"DeletingTodos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2023-08-24T18:42:41.787031342Z[Etc/UTC]","0.0","0.82"
"FilteringTodos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2023-08-24T18:42:46.462588424Z[Etc/UTC]","0.0","0.86"
"FilteringTodos","Should be able to view only completed todos with page objects","SUCCESS","2023-08-24T18:42:48.502373472Z[Etc/UTC]","0.0","0.85"
"FilteringTodos","Should be able to view only incomplete todos with page objects","SUCCESS","2023-08-24T18:42:50.492914578Z[Etc/UTC]","0.0","0.82"
"AddNewTodos","Should be able to add additional todo items with page objects","SUCCESS","2023-08-24T18:43:02.447505629Z[Etc/UTC]","0.0","0.82"
