"Story","Title","Result","Date","Stability","Duration (s)"
"Completing todos","List of completed items should be empty if nothing has been completed","SUCCESS","2023-08-20T07:03:31.832932096Z[Etc/UTC]","0.0","17.7"
"Completing todos","Mark a task as completed","SUCCESS","2023-08-20T07:03:36.630736663Z[Etc/UTC]","0.0","11.72"
"Deleting todos","Delete all the items","SUCCESS","2023-08-20T07:03:34.982769308Z[Etc/UTC]","0.0","15.71"
"Deleting todos","Delete an active item","SUCCESS","2023-08-20T07:03:35.518524358Z[Etc/UTC]","0.0","12.05"
"Filtering todos","Viewing the items by status","SUCCESS","2023-08-20T07:03:34.973048363Z[Etc/UTC]","0.0","13.13"
"Filtering todos","View only the completed items","SUCCESS","2023-08-20T07:03:35.675767891Z[Etc/UTC]","0.0","13.01"
"Add new todos","Adding items to several peoples lists in Cucumber","SUCCESS","2023-08-20T07:03:31.844029746Z[Etc/UTC]","0.0","17.84"
"Add new todos","Adding an item to an empty list in Cucumber","SUCCESS","2023-08-20T07:03:36.089941938Z[Etc/UTC]","0.0","10.58"
"Add new todos","Adding an item to a list with other items in Cucumber","SUCCESS","2023-08-20T07:03:37.354185399Z[Etc/UTC]","0.0","10.49"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-08-20T07:04:09.320811943Z[Etc/UTC]","0.0","12.17"
"LearnAboutTheApplication","Should be able to identify the application with page objects","SUCCESS","2023-08-20T07:04:09.395672756Z[Etc/UTC]","0.0","1.26"
"LearnAboutTheApplication","Should see how to begin with page objects","SUCCESS","2023-08-20T07:04:10.832340801Z[Etc/UTC]","0.0","1.15"
"CompleteATodo","Should be able to complete a todo with page objects","SUCCESS","2023-08-20T07:03:51.223267408Z[Etc/UTC]","0.0","1.06"
"ToggleAllTodos","Should be able to toggle status of all todos with page objects","SUCCESS","2023-08-20T07:03:52.755172401Z[Etc/UTC]","0.0","0.86"
"ToggleAllTodos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2023-08-20T07:03:53.990407986Z[Etc/UTC]","0.0","0.77"
"ToggleAllTodos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2023-08-20T07:03:55.074188426Z[Etc/UTC]","0.0","0.76"
"ToggleAllTodos","Should be able to quickly complete all todos with page objects","SUCCESS","2023-08-20T07:03:56.133772839Z[Etc/UTC]","0.0","0.76"
"ClearCompletedTodos","Should be able to clear completed todos with page objects","SUCCESS","2023-08-20T07:03:59.485862987Z[Etc/UTC]","0.0","0.74"
"ClearCompletedTodos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2023-08-20T07:04:00.672927429Z[Etc/UTC]","0.0","0.76"
"DeletingTodos","Should be able to delete todos with page objects","SUCCESS","2023-08-20T07:03:57.322653198Z[Etc/UTC]","0.0","0.77"
"DeletingTodos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2023-08-20T07:03:58.409865084Z[Etc/UTC]","0.0","0.77"
"FilteringTodos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2023-08-20T07:04:01.722559645Z[Etc/UTC]","0.0","0.75"
"FilteringTodos","Should be able to view only completed todos with page objects","SUCCESS","2023-08-20T07:04:03.069075423Z[Etc/UTC]","0.0","0.74"
"FilteringTodos","Should be able to view only incomplete todos with page objects","SUCCESS","2023-08-20T07:04:04.300830592Z[Etc/UTC]","0.0","0.74"
"AddNewTodos","Test to resolve issue #616172","SUCCESS","2023-08-20T07:04:12.156383522Z[Etc/UTC]","0.0","1.26"
"AddNewTodos","Should be able to add additional todo items with page objects","SUCCESS","2023-08-20T07:04:13.681823769Z[Etc/UTC]","0.0","0.73"
"LearnAboutTheApplication","Should be able to identify the application","SUCCESS","2023-08-20T07:04:44.74481742Z[Etc/UTC]","0.0","0.51"
"LearnAboutTheApplication","Should see how to begin","SUCCESS","2023-08-20T07:04:45.55688788Z[Etc/UTC]","0.0","0.52"
"CompleteATodo","Should be able to complete a todo using imperative code","SUCCESS","2023-08-20T07:04:27.332538967Z[Etc/UTC]","0.0","0.83"
"CompleteATodo","Should be able to complete a todo using a bdd style","SUCCESS","2023-08-20T07:04:28.236089367Z[Etc/UTC]","0.0","0.52"
"CompleteATodo","Should be able to toggle the status of all todos","SUCCESS","2023-08-20T07:04:29.426757613Z[Etc/UTC]","0.0","0.53"
"CompleteATodo","Should be able to complete a todo","SUCCESS","2023-08-20T07:04:30.624178036Z[Etc/UTC]","0.0","0.53"
"CompleteATodo","Should be able to complete a todo using page objects","SUCCESS","2023-08-20T07:04:31.830421794Z[Etc/UTC]","0.0","0.8"
"CompleteATodo","Should see the number of todos decrease when an item is completed","SUCCESS","2023-08-20T07:04:32.738138899Z[Etc/UTC]","0.0","0.52"
"DownloadTheApp","Should see the number of todos decrease when an item is completed","SUCCESS","2023-08-20T07:04:14.833983525Z[Etc/UTC]","0.0","0.53"
"DownloadTheApp","Should be able to download the application","SUCCESS","2023-08-20T07:04:16.018102361Z[Etc/UTC]","0.0","0.88"
"ClearCompletedTodos","Should not be able to clear completed todos if none are complete","SUCCESS","2023-08-20T07:04:38.421407033Z[Etc/UTC]","0.0","0.49"
"ClearCompletedTodos","Should be able to clear completed todos","SUCCESS","2023-08-20T07:04:39.407242584Z[Etc/UTC]","0.0","0.51"
"DeletingTodos","Should be able to delete todos","SUCCESS","2023-08-20T07:04:33.962030273Z[Etc/UTC]","0.0","0.51"
"DeletingTodos","Should see deleting a todo decreases the remaining items count","SUCCESS","2023-08-20T07:04:35.042834797Z[Etc/UTC]","0.0","0.52"
"FilteringTodos","Should be able to view only incomplete todos","SUCCESS","2023-08-20T07:04:40.691729519Z[Etc/UTC]","0.0","0.51"
"FilteringTodos","Should be able to view only completed todos","SUCCESS","2023-08-20T07:04:41.991467861Z[Etc/UTC]","0.0","0.54"
"FilteringTodos","Should be able to view both complete and incomplete todos","SUCCESS","2023-08-20T07:04:43.315092925Z[Etc/UTC]","0.0","0.52"
"TodosBelongToAUser","Should not affect todos belonging to another user","SUCCESS","2023-08-20T07:04:36.166052739Z[Etc/UTC]","0.0","0.54"
"AddNewTodos","Should be able to add the first todo item","SUCCESS","2023-08-20T07:04:46.228771248Z[Etc/UTC]","0.0","0.53"
"AddNewTodos","Should be able to add additional todo items","SUCCESS","2023-08-20T07:04:47.094772986Z[Etc/UTC]","0.0","0.53"
