"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2018-10-15T18:53:35.492+05:30[Asia/Kolkata]","0.0","11.39"
"Learn about the application","Should see how to begin","SUCCESS","2018-10-15T18:53:46.934+05:30[Asia/Kolkata]","0.0","7.6"
"Complete a todo","Should be able to complete a todo","SUCCESS","2018-10-15T18:51:07.614+05:30[Asia/Kolkata]","0.0","13.54"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2018-10-15T18:51:21.204+05:30[Asia/Kolkata]","0.0","11.84"
"Delete todos","Should be able to delete todos","SUCCESS","2018-10-15T18:51:33.182+05:30[Asia/Kolkata]","0.0","15.3"
"Delete todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2018-10-15T18:51:48.538+05:30[Asia/Kolkata]","0.0","12.56"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2018-10-15T18:39:57.305+05:30[Asia/Kolkata]","0.0","12.9"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2018-10-15T18:40:10.259+05:30[Asia/Kolkata]","0.0","13.51"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2018-10-15T18:37:35.368+05:30[Asia/Kolkata]","0.0","12.38"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2018-10-15T18:37:47.8+05:30[Asia/Kolkata]","0.0","10.82"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2018-10-15T18:37:58.674+05:30[Asia/Kolkata]","0.0","10.47"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2018-10-15T18:38:09.201+05:30[Asia/Kolkata]","0.0","12.5"
"Add new todos","Should be able to add the first todo item","SUCCESS","2018-10-15T18:49:57.031+05:30[Asia/Kolkata]","0.0","9.12"
"Add new todos","Should be able to add additional todo items","SUCCESS","2018-10-15T18:50:06.565+05:30[Asia/Kolkata]","0.0","11.04"
