"Story","Title","Result","Date","Stability","Duration (s)"
"LearnAboutTheApplication","Should be able to identify the application","SUCCESS","2023-07-17T12:28:42.313969376Z[Etc/UTC]","0.0","0.65"
"LearnAboutTheApplication","Should see how to begin","SUCCESS","2023-07-17T12:28:43.063228328Z[Etc/UTC]","0.0","0.51"
"CompleteATodo","Should be able to complete a todo","SUCCESS","2023-07-17T12:28:43.705610402Z[Etc/UTC]","0.0","0.94"
"CompleteATodo","Should see the number of todos decrease when an item is completed","SUCCESS","2023-07-17T12:28:44.752408418Z[Etc/UTC]","0.0","0.87"
"DownloadTheApp","Should see the number of todos decrease when an item is completed","SUCCESS","2023-07-17T12:28:45.702001244Z[Etc/UTC]","0.0","0.86"
"ClearCompletedTodos","Should not be able to clear completed todos if none are complete","SUCCESS","2023-07-17T12:29:03.320410026Z[Etc/UTC]","0.0","0.8"
"ClearCompletedTodos","Should be able to clear completed todos","SUCCESS","2023-07-17T12:29:04.224746764Z[Etc/UTC]","0.0","0.97"
"DeletingTodos","Should be able to delete todos","SUCCESS","2023-07-17T12:29:01.494485386Z[Etc/UTC]","0.0","0.81"
"DeletingTodos","Should see deleting a todo decreases the remaining items count","SUCCESS","2023-07-17T12:29:02.407481101Z[Etc/UTC]","0.0","0.78"
"AddNewTodos","Should be able to add the first todo item","SUCCESS","2023-07-17T12:28:40.47988835Z[Etc/UTC]","0.0","0.63"
"AddNewTodos","Should be able to add additional todo items","SUCCESS","2023-07-17T12:28:41.219671413Z[Etc/UTC]","0.0","0.96"
