"Story","Title","Result","Date","Stability","Duration (s)"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-02-13T09:51:35.114450417Z[Etc/UTC]","0.0","1.32"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-02-13T09:51:48.211653116Z[Etc/UTC]","0.0","1.51"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-02-13T09:51:49.830159558Z[Etc/UTC]","0.0","1.31"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-02-13T09:51:56.854347448Z[Etc/UTC]","0.0","1.26"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-02-13T09:51:58.222582983Z[Etc/UTC]","0.0","1.36"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-02-13T09:51:04.047893127Z[Etc/UTC]","0.0","1.58"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-02-13T09:51:05.692598876Z[Etc/UTC]","0.0","1.57"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-02-13T09:51:12.248344242Z[Etc/UTC]","0.0","1.41"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-02-13T09:51:13.768491595Z[Etc/UTC]","0.0","1.33"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-02-13T09:51:15.168997875Z[Etc/UTC]","0.0","1.27"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-02-13T09:51:16.543228488Z[Etc/UTC]","0.0","1.48"
"Add new todos","Should be able to add additional todo items","SUCCESS","2022-02-13T09:51:31.595978878Z[Etc/UTC]","0.0","1.48"
